,Symbol,Open,High,Low,Close,Volume,% Change,Updated_Price
0,ICON,0.19,0.35,0.19,0.33,10856541,73.68,2.0000
1,WRE,28.3,28.33,27.52,28.09,4857600,6.56,27.90
2,IO,14.1,14.89,13.83,14.59,279000,5.88,14.04
3,PII,88.33,92.37,88.12,90.84,1530800,3.91,82.51
4,DO,9.81,10.2,9.79,10.11,2589100,3.69,10.68
5,NBL,23.0,23.65,23.0,23.63,8624200,3.5,25.27
6,EXP,78.5,80.19,78.24,80.12,714000,2.18,71.83
7,SYNA,42.3,43.25,41.91,43.08,426200,1.99,34.75
8,IMOS,16.79,16.97,16.79,16.97,16400,1.98,17.20
9,MDCO,25.63,26.0,25.22,25.89,1082500,1.89,26.99
10,CTRP,34.71,35.44,34.39,34.99,8946113,1.83,40.81
11,NFG,60.13,60.89,59.75,60.88,569400,1.55,61.60
12,OMN,8.29,8.43,8.26,8.4,257700,1.08,7.31
13,MIN,3.74,3.78,3.74,3.78,144400,1.07,3.7400
14,NMM,0.99,0.99,0.98,0.98,526900,1.03,0.8250
15,PHK,8.95,9.0,8.93,8.98,830300,1.01,8.98
16,STWD,22.33,22.5,22.24,22.49,1543300,0.99,22.75
17,DNP,11.39,11.54,11.34,11.51,923700,0.88,11.65
18,SNY,42.74,42.76,42.31,42.5,1002900,0.83,44.33
19,PHG,40.72,40.75,40.19,40.49,921600,0.72,40.42
20,XOP,30.69,30.89,29.99,30.62,16559200,0.69,30.89
21,IDA,99.36,99.69,98.14,99.59,226100,0.68,101.00
22,SCS,17.64,17.77,17.52,17.73,460800,0.57,15.03
23,ERX,23.2,23.34,22.0,23.03,4003000,0.52,23.27
24,PFL,11.5,11.57,11.49,11.53,59800,0.52,11.57
25,IEX,145.76,146.67,144.3,145.55,252700,0.48,150.55
26,DIG,31.24,31.41,30.22,31.15,97700,0.48,31.42
27,NOG,2.45,2.47,2.34,2.41,3202200,0.42,2.7275
28,VDE,89.96,90.2,88.45,89.82,243400,0.23,89.98
29,CLR,45.48,45.86,44.4,45.24,2492900,0.02,43.67
30,OXY,67.76,67.98,66.41,67.45,4188200,-0.15,67.42
31,HSIC,60.1,60.13,58.98,59.76,1595600,-0.52,59.31
32,CPE,7.79,7.86,7.48,7.65,4438000,-1.16,7.66
33,LAZ,38.41,38.73,37.36,37.72,1162600,-1.36,36.33
